id,romaji,kanji,kana,chinese,english
1,,12cm単装砲,,12cm单装炮,12cm Single Gun Mount
2,,12.7cm連装砲,,12.7cm连装炮,12.7cm Twin Gun Mount
3,,10cm連装高角砲,,10cm连装高角炮,10cm Twin High-angle Gun Mount
4,,14cm単装砲,,14cm单装炮,14cm Single Gun Mount
5,,15.5cm三連装砲,,15.5cm三连装炮,15.5cm Triple Gun Mount
6,,20.3cm連装砲,,20.3cm连装炮,20.3cm Twin Gun Mount
7,,35.6cm連装砲,,35.6cm连装炮,35.6cm Twin Gun Mount
8,,41cm連装砲,,41cm连装炮,41cm Twin Gun Mount
9,,46cm三連装砲,,46cm三连装炮,46cm Triple Gun Mount
10,,12.7cm連装高角砲,,12.7cm连装高角炮,12.7cm Twin High-angle Gun Mount
11,,15.2cm単装砲,,15.2cm单装炮,15.2cm Single Gun Mount
12,,15.5cm三連装砲(副砲),,15.5cm三连装炮（副炮）,15.5cm Triple Secondary Gun Mount
13,,61cm三連装魚雷,,61cm三连装鱼雷,61cm Triple Torpedo Mount
14,,61cm四連装魚雷,,61cm四连装鱼雷,61cm Quadruple Torpedo Mount
15,,61cm四連装(酸素)魚雷,,61cm四连装（酸素）鱼雷,61cm Quadruple (Oxygen) Torpedo Mount
16,,九七式艦攻,,九七式舰攻,Type 97 Torpedo Bomber
17,,天山,,天山,Tenzan
18,,流星,,流星,Ryuusei
19,,九六式艦戦,,九六式舰战,Type 96 Fighter
20,,零式艦戦21型,,零式舰战21型,Type 0 Fighter Model 21
21,,零式艦戦52型,,零式舰战52型,Type 0 Fighter Model 52
22,,烈風,,烈风,Reppuu
23,,九九式艦爆,,九九式舰爆,Type 99 Dive Bomber
24,,彗星,,彗星,Suisei
25,,零式水上偵察機,,零式水上侦察机,Type 0 Reconnaissance Seaplane
26,,瑞雲,,瑞云,Zuiun
27,,13号対空電探,,13号对空电探,Type 13 Air Radar
28,,22号対水上電探,,22号对水上电探,Type 22 Surface Radar
29,,33号対水上電探,,33号对水上电探,Type 33 Surface Radar
30,,21号対空電探,,21号对空电探,Type 21 Air Radar
31,,32号対水上電探,,32号对水上电探,Type 32 Surface Radar
32,,14号対空電探,,14号对空电探,Type 14 Air Radar
33,,改良型艦本式タービン,,改良型舰船涡轮机,Improved Kanhon Type Turbine
34,,強化型艦本式缶,,强化型舰船锅炉,Enhanced Kanhon Type Boiler
35,,三式弾,,三式弹,Type 3 Shell
36,,九一式徹甲弾,,九一式穿甲弹,Type 91 Armor Piercing Shell
37,,7.7mm機銃,,7.7mm机枪,7.7mm Machine Gun
38,,12.7mm単装機銃,,12.7mm单装机枪,12.7mm Single Machine Gun Mount
39,,25mm連装機銃,,25mm连装机枪,25mm Twin Autocannon Mount
40,,25mm三連装機銃,,25mm三连装机枪,25mm Triple Autocannon Mount
41,,甲標的 甲,,甲标的 甲,Kouhyouteki
42,,応急修理要員,,应急修理要员,Emergency Repair Personnel
43,,応急修理女神,,应急修理女神,Emergency Repair Goddess
44,,九四式爆雷投射機,,九四式爆雷投射机,Type 94 Depth Charge Projector
45,,三式爆雷投射機,,三式爆雷投射机,Type 3 Depth Charge Projector
46,,九三式水中聴音機,,九三式水中听音机,Type 93 Passive Sonar
47,,三式水中探信儀,,三式水中探信仪,Type 3 Active Sonar
48,,12.7cm単装高角砲,,12.7cm单装高角炮,12.7cm Single High-angle Gun Mount
49,,25mm単装機銃,,25mm单装机枪,25mm Single Autocannon Mount
50,,20.3cm(3号)連装砲,,20.3cm（3号）连装炮,20.3cm (No.3) Twin Gun Mount
51,,12cm30連装噴進砲,,12cm30连装喷进炮,12cm 30-tube Rocket Launcher
52,,流星改,,流星改,Ryuusei Kai
53,,烈風改,,烈风改,Reppuu Kai
54,,彩雲,,彩云,Saiun
55,,紫電改二,,紫电改二,Shiden Kai 2
56,,震電改,,震电改,Shinden Kai
57,,彗星一二型甲,,彗星一二型甲,Suisei Model 12A
58,,61cm五連装(酸素)魚雷,,61cm五连装（酸素）鱼雷,61cm Quintuple (Oxygen) Torpedo Mount
59,,零式水上観測機,,零式水上观测机,Type 0 Observation Seaplane
60,,零式艦戦62型(爆戦),,零式舰战62型（爆战）,Type 0 Fighter Model 62 (Fighter-bomber)
61,,二式艦上偵察機,,二式舰上侦察机,Type 2 Reconnaissance Aircraft
62,,試製晴嵐,,试制晴岚,Prototype Seiran
63,,12.7cm連装砲B型改二,,12.7cm连装炮B型改二,12.7cm Twin Gun Mount Model B Kai 2
64,,Ju87C改,,Ju87C改,Ju 87C Kai
65,,15.2cm連装砲,,15.2cm连装炮,15.2cm Twin Gun Mount
66,,8cm高角砲,,8cm高角炮,8cm High-angle Gun
67,,53cm艦首(酸素)魚雷,,53cm舰首（酸素）鱼雷,53cm Bow (Oxygen) Torpedo Mount
68,,大発動艇,,大发登陆艇,Daihatsu Landing Craft
69,,カ号観測機,,KA号观测机,Ka Type Observation Autogyro
70,,三式指揮連絡機(対潜),,三式指挥联络机（对潜）,Type 3 Command Liaison Aircraft (ASW)
